"","Connecting Tubule","Distal Convoluted Tubule","Endothelial Cell","Intercalated Cells Type A","Intercalated Cells Type B","Leukocyte","Mesangial Cells","Principal Cells","Proximal Tubule","Thick Ascending Limb"
"73",0.000147909698528096,0.000147909698528097,0.000169046623090647,0.000147909698430038,0.000147909698528101,0.814715652112269,0.172592628779257,0.000147909698528093,0.011635214291953,0.000147909700887013
"74",9.43594111195739e-05,0.959631401668616,9.43594111195495e-05,9.43594111195702e-05,9.43594111195864e-05,9.43594111195696e-05,9.43594111195673e-05,9.43594111195729e-05,9.43594111195608e-05,0.039613723042427
"75",0.000186104221737561,0.593268495533234,0.000126343774986162,0.00437759360824879,0.0170685790441889,0.000126343774989075,0.000126343774989071,0.0413506782214255,0.343243174274005,0.000126343772195503
"76",0.722429155098744,0.151323175235357,0.000124524617500885,0.000124524617500904,0.000124524617500876,0.000124524617500881,0.125375997343393,0.00012452461750088,0.000124524617500885,0.00012452461750088
"77",0.159213360814879,0.306905357615714,0.000135861222271051,0.000135861221051699,0.532930253014728,0.00013586122227106,0.000135861222271069,0.000135861222271065,0.000135861222270994,0.00013586122227191
"78",0.000161584072333364,0.936738928557557,8.72508291438717e-05,8.72508291448292e-05,8.72508291438263e-05,8.72508291438344e-05,8.72508291438212e-05,0.00119119807339866,0.0321810128135892,0.0292910223374014
"79",0.19314710021936,0.485236641708157,0.161112221425083,0.000126274549256131,0.15268813269186,0.000126274544865168,0.00718453123206255,0.000126274544865162,0.000126274544865162,0.000126274539624888
"80",0.304066922847492,0.341129937272538,0.000195414714618537,0.000195414719219011,0.000195414714618543,0.000195414714618552,0.000195414714618542,0.115260989151171,0.165328820430732,0.0732362567203736
"81",9.28916121201462e-05,0.940719807182154,9.28916119763828e-05,9.28916129381282e-05,9.28916121201143e-05,9.28916121201413e-05,9.28916121201217e-05,9.28916121201168e-05,9.28916121201156e-05,0.0585370599202109
"82",0.000190355322336266,0.363331926155429,0.000190355322336267,0.000190355322336266,0.000190355322336269,0.14733802153581,0.000190355322336269,0.000190355322336269,0.300479664885694,0.18770825548905
"83",0.000197971606299491,0.470882723274039,0.000197971606299526,0.227721554931436,0.237453175409369,0.000197971606299492,0.000197971606299488,0.000197971606299504,0.000197971606299522,0.0627547167473596
"84",0.0207776047928499,0.359155675826321,0.000133281386796795,0.000133281386796398,0.000133281386796922,0.000133281386796883,0.000133281386796873,0.000133281386796897,0.61913374967325,0.000133281386797662
"85",0.000188275638690242,0.339720762616912,0.000188275638690231,0.121378299998528,0.272659080990901,0.000188275638690233,0.000188275638690228,0.000188275638690219,0.000188275638690231,0.265112202561518
"86",0.187061289225253,0.461765641609307,0.190601744938428,0.000185648445854786,0.00255739999325489,0.018917668649088,0.000185648445859427,0.0150180618551598,0.000185648445859434,0.123521248391937
"87",5.99395713508062e-05,0.0992575067512774,5.99395713425254e-05,5.99395736981659e-05,5.99395713425321e-05,5.99395713425587e-05,5.9939571342552e-05,5.99395713425601e-05,0.784823978426281,0.11549893782068
"88",0.000198291492852238,0.35869252057446,0.00019829149285228,0.000198291492852219,0.00266450316710014,0.000198291492852247,0.000198291492852236,0.000198291492852224,0.388325214834929,0.249128012466397
"89",0.000144697682599843,0.174606344803315,0.000144697682599833,0.366453515977143,0.381280774021063,0.000144697682599832,0.000144697682599845,0.000144697682599852,0.0767911791033437,0.00014469768213669
"90",0.133127473405424,0.113313519663749,9.68115961918532e-05,9.68115964398965e-05,9.68115961918487e-05,9.68115961918079e-05,9.68115961918409e-05,9.68115961918385e-05,0.752881325762313,9.68115911148961e-05
"91",8.03407808298389e-05,0.318547060174531,8.03407808298499e-05,8.03407799759164e-05,8.03407808298533e-05,8.03407808298402e-05,8.03407808298455e-05,8.03407808298579e-05,0.671201870195968,0.00968868416454559
"92",0.000133680774456851,0.362823645371759,0.000133680774456869,0.00013368077446426,0.000133680774456866,0.000133680774456869,0.000133680774456867,0.00013368077445684,0.334672039976691,0.301568549230344
"93",9.03484345984877e-05,0.829392580716855,0.0473031945903145,9.03484389204171e-05,9.03484345984726e-05,9.03484345984656e-05,0.0127117963472862,9.03484345984802e-05,0.110050337735875,9.03484323549533e-05
"94",0.277466699712774,0.721809144828998,9.05194328718549e-05,9.05194328718559e-05,9.05194328718507e-05,9.05194328718387e-05,9.0519432871868e-05,9.05194328718558e-05,9.05194328718508e-05,9.05194281248923e-05
"95",0.0680761727428591,0.249886805506059,0.0523210498092844,0.163776598312029,0.231951991716712,0.000181809128119788,0.0241370438185681,0.000181809128119786,0.209304910705837,0.000181809132411913
"96",0.000190277199629857,0.40138769522581,0.00019027719962987,0.343989025290564,0.216999741432102,0.000190277199629841,0.0359386150423499,0.000190277199629831,0.000190277199629863,0.000733537011025692
"97",0.000202160753711099,0.429676082894612,0.000202160753711095,0.291457059880569,0.236015550920703,0.000202160753711101,0.000202160753711094,0.000202160753711073,0.000202160753711104,0.0416383417818501
"98",6.31333395341571e-05,6.31333395334599e-05,6.31333395335026e-05,6.31333485875982e-05,6.31333395334759e-05,6.31333395334493e-05,6.31333395334749e-05,6.31333395334704e-05,0.999431799937117,6.31333375607828e-05
"99",0.262199293891003,0.657035701230344,9.01535109397878e-05,0.0380083845495023,0.0267134197160983,9.01535109398178e-05,9.01535109398268e-05,0.015571837981836,0.000110748592184954,9.01535062120467e-05
"100",9.55771334090297e-05,0.971160449316086,9.55771330859599e-05,9.55771337847168e-05,9.55771334090289e-05,9.55771334090123e-05,9.55771334090284e-05,9.55771334090255e-05,9.55771334090258e-05,0.0280749336165887
