ligand_receptor,lr_id
FGF7_FGFR2,655
FGF3_FGFR1,640
FGF3_FGFR2,641
FGF10_FGFR1,604
FGF10_FGFR2,605
FGF22_FGFR2,632
FGF8_FGFR1,656
FGF8_FGFR2,657
FGF8_FGFR3,658
FGF8_FGFR4,659
FGF17_FGFR1,610
FGF17_FGFR2,611
FGF17_FGFR3,612
FGF17_FGFR4,613
FGF18_FGFR1,614
FGF18_FGFR2,615
FGF18_FGFR3,616
FGF18_FGFR4,617
FGF9_FGFR1,660
FGF9_FGFR2,661
FGF9_FGFR3,662
FGF9_FGFR4,663
FGF20_FGFR1,626
FGF20_FGFR2,627
FGF20_FGFR3,628
FGF20_FGFR4,629
FGF16_FGFR1,606
FGF16_FGFR2,607
FGF16_FGFR3,608
FGF16_FGFR4,609
FGF19_FGFR1,618
FGF19_FGFR2,619
FGF19_FGFR3,620
FGF19_FGFR4,621
FGF21_FGFR1,630
FGF21_FGFR3,631
FGF23_FGFR1,633
FGF23_FGFR3,634
FGF23_FGFR4,635
PDGFA_PDGFRA,1217
PDGFA_PDGFRB,1218
PDGFB_PDGFRA,1219
PDGFB_PDGFRB,1220
PDGFC_PDGFRA,1221
PDGFD_PDGFRB,1222
VEGFA_FLT1,1563
VEGFA_KDR,1565
VEGFB_FLT1,1566
VEGFC_FLT4,1567
VEGFC_KDR,1569
VEGFD_FLT4,1570
VEGFD_KDR,1572
PGF_FLT1,1234
VEGFA_FLT1_KDR,1564
VEGFC_FLT4_KDR,1568
VEGFD_FLT4_KDR,1571
IGF1_IGF1R,838
IGF2_IGF1R,841
IGF2_IGF2R,842
IGF1_ITGAV_ITGB3,840
IGF1_ITGA6_ITGB4,839
IGF2_ITGAV_ITGB3,844
IGF2_ITGA6_ITGB4,843
IGFL3_IGFLR1,845
INS_INSR,922
APLN_APLNR,38
DHH_PTCH1_SMO,489
IHH_PTCH1_SMO,846
SHH_PTCH1_SMO,1406
DHH_PTCH2_SMO,490
IHH_PTCH2_SMO,847
SHH_PTCH2_SMO,1407
CCL5_CCR1,181
CCL3_CCR1,175
CCL3L1_CCR1,172
CCL3L3_CCR1,173
CCL8_CCR1,193
CCL7_CCR1,187
CCL13_CCR1,135
CCL14_CCR1,138
CCL15_CCR1,139
CCL16_CCR1,141
CCL23_CCR1,156
CCL8_CCR2,194
CCL7_CCR2,188
CCL2_CCR2,170
CCL27_CCR2,164
CCL5_CCR3,182
CCL7_CCR3,189
CCL11_CCR3,131
CCL24_CCR3,158
CCL26_CCR3,162
CCL28_CCR3,167
CCL27_CCR3,165
CCL17_CCR4,144
CCL22_CCR4,155
CCL5_CCR4,183
CCL4_CCR5,178
CCL5_CCR5,184
CCL3_CCR5,176
CCL20_CCR6,151
CCL19_CCR7,147
CCL21_CCR7,153
CCL19_ACKR4,146
CCL21_ACKR4,152
CCL1_CCR8,150
CCL25_CCR9,160
CCL25_ACKR4,159
CCL28_CCR10,166
CCL27_CCR10,163
CCL1_ACKR4,149
CCL13_ACKR4,134
CCL8_ACKR4,192
CCL1_ACKR1,148
CCL2_ACKR1,168
CCL5_ACKR1,179
CCL8_ACKR1,190
CCL13_ACKR1,132
CCL14_ACKR1,136
CCL16_ACKR1,140
CCL18_ACKR1,145
CXCL1_ACKR1,469
CXCL2_ACKR1,472
