,Proximal Tubule,Principal Cells,Thick Ascending Limb,Intercalated Cells Type A,Endothelial Cell,Distal Convoluted Tubule,Connecting Tubule,Mesangial Cells,Intercalated Cells Type B,Leukocyte
143,0.9547004,0.026652083,0.0038100162,0.0035912523,0.002794323,0.0018235972,0.0042785592,0.00017988659,0.0015517153,0.0006181784
144,0.05992483,0.064482145,0.28902915,0.017402422,0.41504863,0.1136061,0.03437195,0.0033920163,0.0023928445,0.00034988564
145,0.29810616,0.0910859,0.4278225,0.15231222,0.011044387,0.0011719328,0.006593453,0.0048689176,0.0015633443,0.0054311138
146,0.03049241,0.030916238,0.3405165,0.0013627493,0.5901864,0.00023084633,0.0038402127,0.0012711665,0.000109583605,0.0010738426
147,0.048977274,0.111472756,0.048429098,0.33417344,0.0062703295,0.02130639,0.3558552,0.06849375,0.00078388554,0.0042378088
148,0.21368727,0.15006295,0.045313638,0.3012754,0.14903203,0.046288732,0.008650246,0.082331665,0.00046182936,0.0028961878
149,0.5939541,0.28541878,0.08438084,0.013113377,0.0007580075,0.0016692738,0.01286163,0.007096885,0.0004992511,0.00024799706
150,0.19437857,0.17790635,0.22385108,0.041853793,0.0036570122,0.10338113,0.23297466,0.015892856,0.0016154468,0.004489075
151,0.05958278,0.20531484,0.023366053,0.00050909363,0.0241796,0.0021043892,0.6801357,0.003082639,0.0010813437,0.00064350315
152,0.011610277,0.0022114762,0.0033178634,0.0012710702,0.8473077,0.0012078914,0.00079835765,0.12727657,0.0045025917,0.0004962295
153,0.11090346,0.31224316,0.44166487,0.023110095,0.008518224,0.008312725,0.08300587,0.009107482,0.0010733991,0.0020607747
154,0.030259479,0.08202865,0.012163789,0.44768894,0.0041311113,0.0065344693,0.3814676,0.0009921228,0.00071992713,0.034013946
155,0.10696309,0.08237205,0.059832517,0.11558575,0.011637675,0.16789842,0.20589511,0.24894273,0.00014924593,0.0007233834
156,0.2347929,0.16569898,0.55956286,0.017954208,0.0061414028,0.007795823,0.0053347163,0.0016891743,0.0007584352,0.00027141813
157,0.81055737,0.06075089,0.0053307894,0.0048758527,0.0031978688,0.062041223,0.040603753,0.0020434055,0.0017518804,0.008846953
158,0.063189715,0.036978804,0.098368794,0.7494116,0.011051771,0.021137599,0.011570207,0.0041194395,0.003586802,0.0005851291
159,0.6023712,0.0908309,0.25207147,0.023116061,0.015146555,0.009134577,0.0024551903,0.0025448601,0.0020734575,0.0002555704
160,0.16478243,0.20413867,0.071374685,0.0075817006,0.0565894,0.002527081,0.44837096,0.044009514,0.00011152803,0.0005140042
161,0.05679546,0.09456549,0.21726945,0.09405603,0.017200178,0.4902091,0.024898848,0.0007635456,0.0010787881,0.0031631493
162,0.0073301294,0.018312186,0.024984764,0.087719366,0.0005697608,0.069582984,0.00060728367,0.0052938284,0.78448975,0.001109941
163,0.15515018,0.100461416,0.017512875,0.030149108,0.022967571,0.31368208,0.0049410257,0.35256627,0.0005076314,0.0020619442
164,0.53264576,0.30963212,0.12506354,0.02347999,0.0018659632,0.0042808927,0.0011717735,0.00066725735,0.000564306,0.0006284297
165,0.1463429,0.23485391,0.026760247,0.0022279697,0.0074075363,0.19879583,0.0014346917,0.0033038305,9.889912e-05,0.37877417
166,0.045001373,0.13648656,0.17237337,0.0010255254,0.18471473,0.010294905,0.44348878,0.0061236247,0.00044115627,4.9868228e-05
167,0.21199545,0.14804181,0.25614586,0.33216396,0.014673818,0.024427438,0.008475966,0.0010864014,0.0014741007,0.001515241
168,0.034953356,0.14198364,0.23369566,0.03639033,0.004900548,0.42260966,0.11651095,0.0063981987,0.0015171722,0.0010404907
169,0.33202577,0.18902491,0.031164372,0.008275175,0.016649798,0.00246891,0.0028471819,0.4171596,0.00013093196,0.00025339634
170,0.09775192,0.1569229,0.12475595,0.030498397,0.011484452,0.551152,0.012839183,0.010778815,0.0007531207,0.003063203
171,0.6956375,0.16768728,0.1136951,0.0068856394,0.007957527,0.0026729843,0.0008859758,0.0016842345,0.00027187858,0.0026218023
172,0.09082811,0.11081538,0.1190519,0.12420592,0.0026719302,0.5267428,0.00066645135,0.019625032,0.0012518513,0.0041406434
173,0.28347632,0.08448135,0.5161072,0.025702156,0.0045784637,0.013835603,0.03333479,0.008355006,0.0021965955,0.027932612
